Test,Rs
Complete Blood Count (CBC),"Rs 800 - 1,000"
Blood Sugar Random (BSR),Rs 200 - 500
Semen Analysis,"Rs 3,000"
Insulin (Fasting),"Rs 2,650 - 4,300"
Dengue NS1 Antigen,"Rs 1,800 - 3,000"
Renal Function Test (RFT),"Rs 1,800 - 1,950"
Lipid Profile,"Rs 1,900 - 2,400"
Prolactin,"Rs 1,750 - 2,500"
Basic Metabolic Profile (BMP),"Rs 2,200"
Liver Function Tests (LFTs),"Rs 1,560"
Hemoglobin A1c,Rs 360
Serum Electrolytes,"Rs 1,200"
C-reactive Protein (CRP),"Rs 1,600"
Serum Mycodot IgG,"Rs 1,600"
Iron,Rs 880
MRI Brain,"Rs 8,000"
Folic Acid,"Rs 1,920"
Liver Function Test (LFT),"Rs 1,560"
Platelet Count,Rs 500
Blood Culture,"Rs 2,700"
Calcium (Ca),Rs 600
17-Hydroxyprogesterone,
24 Hrs Urine Calcium,
24 Hrs. Urine Creatinine,
24 Hrs. Urine for VMA,
24 Hrs. Urine Magnesium,
24 Hrs. Urine Uric Acid,
A/G Ratio,
Absolute Eosinophil Count,
Absolute Lymphocyte Count,
Absolute Monocyte Count,
Absolute Neutrophil Count,
ACE,
ACTH,
Albumin,
Albumin (Fluid),
Aldolase,
Aldosterone,
Amylase,
Anti Cardiolipin IgG,
Anti Cardiolipin IgM,
Anti Phospholipid IgG,
Anti Phospholipid IgM,
Anti-HBe,
Anti-HBs,
Activated Partial Thromboplastin Time (APTT),
Arterial Blood Gases (ABGs),
Audiometry,
Basic Metabolic Profile (BMP),
Benzodiazepines,
Bicarbonate,
Complete Blood Count (CBC),
Blood Group,
Blood Sugar (Fasting),
Blood Sugar Random (BSR),
Blood Urea,
BUN,
C- Peptide Level,
C-Reactive Protein (CRP),
CA 125,
CA 15-3,
CA 19-9,
CEA,
Ceruloplasmin,
Chloride,
Cholesterol,
CK-MB,
Clotting Time,
CMV IgG (Cytomegalovirus),
CMV IgM (Cytomegalovirus),
Comprehensive Metabolic Panel (CMP),
Creatinine Clearance (24 Hrs Urine & Serum),
Serum Creatinine,
CT Chest & Abdomen,
CT Chest + Abdomen and Pelvis,
CT Coronary Calcium Scoring,
CT Scan Abdomen,
CT Scan Pelvis,
CT Scanogram,
D Dimer,
Dengue IgG Ab by ELISA,
Dengue IgM Ab by ELISA,
Dengue NS1 Antigen,
DEXA Scan,
Digoxin,
Doppler & Ultra sound (USG): for Abdomen,
Doppler Ultrasound: Both Legs Doppler (Arterial ),
ESR,
Echocardiography (ECHO),
ECG,
EEG,
Estradiol,
Exercise Tolerance test (ETT),
Ferritin,
Fibrinogen,
Fluid Amylase,
Fluid Lipase,
Folic Acid,
Free Androgen Index,
Free T3,
Free T4,
FSH,
Gamma GT,
HbA1C,
H. Pylori Ab IgG,
H. pylori IgA,
Haematocrit (HCT),
Hb. Electrophoresis,
HBV PCR (Qualitative),
HCV PCR (Qualitative),
HDL Cholesterol,
Hemoglobin (Hb),
Hemoglobin (Spot Urine),
Hemosiderin (Urine),
HBsAg,
Homocysteine,
HPV DNA,
HIV,
Immunoglobulin E (IgE),
Immunoglobulin G (IgG),
Immunoglobulin M (IgM),
Insulin (Fasting),
Ionized Calcium,
Iron,
Ketones (Spot Urine),
LDH,
LDL-Cholesterol,
Liver Function Test (LFT),
Lipase Serum,
Lipid Profile,
Lithium Serum,
