"Health Zone Lab (Address : 54 ? Naseerabad Stop Near HBL Ferozpur Road, Lahore Pakistan) Whatsapp :   0317-1170410",,,,
List of Common Tests,,,,
Code,Test Name,Rate,Specimen,Reporting Time
4208,Anti HCV (ELISA),800,3- 5cc Clotted Blood or Serum,SAME DAY
1300,Blood C/E (CBC),500,3cc EDTA BLOOD (CBC VIAL),Same Day After 6 Hour
1400,Blood Glucose (Fasting),300,Sodium Fluoride Containing Sample,Same Day After 6 Hour
1401,Blood Glucose (Random),300,Sodium Fluoride Containing Sample,Same Day After 6 Hour
28000,Blood Group & Rh Factor,300,3cc EDTA BLOOD (CBC VIAL),DAILY
3333,CBC For (Dengue),90,3cc EDTA BLOOD (CBC VIAL),Same Day After 8 Hour
12361,Coronavirus Antibody (SARS-Cov-2),3500,3- 5cc Clotted Blood or Serum,SAME DAY
9999999,COVID-19 (CoronaVirus) PCR Qualitative,5500,SWAB,AFTER THREE DAYS
1301,Hemoglobin (HB),300,3cc EDTA BLOOD (CBC VIAL),Same Day After 8 Hour
66112,LIVER FUNCTION TESTS (LFT),1600,3- 5cc Clotted Blood or Serum,Same Day After 6 Hour
4124,Total Testosterone,1400,3- 5cc Clotted Blood or Serum,DAILY
1100,Urine C/E,400,Urine (Random/Spot),Same Day After 8 Hour
1302,WBC (TLC),300,3cc EDTA BLOOD (CBC VIAL),Same Day After 8 Hour
,,,,
List of all tests:,,,,
Code,Test Name,Rate,Sample,Reporting Time
2587,24 Hours Urinary Specific Gravity,600,24 Hrs Urine,DAILY
4849,24 hours Urinary Potassium,500,24 Hrs Urine,DAILY
3506,24 hrs Urinary Sodium,500,24 Hours Urine,SAME DAY
554648,25-Hydroxy Vit-D3 Level,2800,3- 5cc Clotted Blood or Serum,DAILY
6056,A/G Ratio,800,3- 5cc Clotted Blood or Serum,DAILY
8125,Abdominal Fluid For C/E,1200,Abdominal Fluid,Same Day After 12 Hour
8096,Abdominal Fluid For Malignant Cytology,1400,Abdominal Fluid,AFTER FIVE DAYS
8082,Abdominal Fluid For AFB C/S,1600,Abdominal Fluid,AFTER 1 WEEKS
8032,Abdominal Fluid For AFB Stain / ZN Stain,400,Abdominal Fluid,SAME DAY
8081,Abdominal Fluid For C/S,1600,Abdominal Fluid,AFTER SEVEN DAYS
8057,Abdominal Fluid For Gram Stain,400,Abdominal Fluid,SAME DAY
1254,Absolute Eosinophil Count,400,3cc EDTA BLOOD (CBC VIAL),SAME DAY
8093,Absolute Neutrophil Count,400,3cc EDTA BLOOD (CBC VIAL),SAME DAY
1256,Acetyl Choline Receptor Antibody (AChR Abs),9000,3- 5cc Clotted Blood or Serum,AFTER TWO DAYS
78945,Angiotensin Converting Enzyme (ACE) Level,3650,3- 5cc Clotted Blood or Serum,AFTER TWO DAYS
3831,ACTH (Adrenocorticotropic Hormone),3000,3- 5cc Clotted Blood or Serum,AFTER TWO DAYS
4195,Adenosine Deaminase (ADA-CSF),4300,CSF,AFTER TWO DAYS
4194,Adenosine Deaminase (ADA-FLUID),4300,Fluid,AFTER TWO DAYS
4236,Adenosine Deaminase (ADA-Serum),4300,3- 5cc Clotted Blood or Serum,AFTER TWO DAYS
8201,AFB C/S,1600,Sputum,AFTER 2 WEEKS
6064,Albumin (Quantitative - Urine),400,Urine (Random/Spot),DAILY
6054,Albumin (serum),400,3- 5cc Clotted Blood or Serum,DAILY
1620,Albumin / Creatinine Ratio.,800,3.00cc Serum or Random Urine,DAILY
2706,Aldolase(Serum),1650,3- 5cc Clotted Blood or Serum,AFTER TWO DAYS
1505,Alkaline Phosphatase (ALP),400,3- 5cc Clotted Blood or Serum,SAME DAY
4810,Alpha Anti Trypsin,2050,3- 5cc Clotted Blood or Serum,AFTER TWO DAYS
4300,Alpha Fetoprotein (AFP),1800,3- 5cc Clotted Blood or Serum,SAME DAY
1710,Ammonia (NH3),1400,Plasma of Edta vial Separate within 30 min,SAME DAY
2700,Amylase,1000,3- 5cc Clotted Blood or Serum,SAME DAY
44,Amylase (24Hrs Urine),1000,Serum and 24Hrs Urine,AFTER TWO DAYS
1103,Amylase (Fluid),1000,Fluid,SAME DAY
4816,ANA (Anti Nuclear Antibody) Elisa,1500,3- 5cc Clotted Blood or Serum,SAME DAY
2701,ANA (Anti Nuclear Antibody) IFA,3500,3- 5cc Clotted Blood or Serum,AFTER ONE DAY
12352,"ANA Profile (ANA, AMA, ASMA) IFA",4500,3- 5cc Clotted Blood or Serum,AFTER ONE DAY
5017,ANCA - C,3650,3cc EDTA BLOOD (CBC VIAL),AFTER THREE DAYS
5016,"ANCA -, P",3650,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
2721,Anion Gap (Serum),1100,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
4151,Anti Cardiolipin IgG,2800,3- 5cc Clotted Blood or Serum,AFTER ONE DAY
4152,Anti Cardiolipin IgM,2800,3- 5cc Clotted Blood or Serum,AFTER ONE DAY
101,Anti CCP (Cyclic Citrullinated Peptide),2400,3- 5cc Clotted Blood or Serum,SAME DAY
3102,Anti Centromers Anti Bodies (ANA)IFA,3500,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
4805,Anti ds DNA,1800,3- 5cc Clotted Blood or Serum,SAME DAY
5000,Anti Endomysial IgA,2500,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
1622,Anti Endomysial IgG,2500,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
8176,Anti Epstein Barr Virus (EBV) IgG,3400,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
8175,Anti Epstein Barr Virus (EBV) PCR,7150,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
5066,Anti Gliadin IgA,2400,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
9056,Anti Gliadin IgG,2400,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
4213,Anti HAV IgG,1800,3- 5cc Clotted Blood or Serum,SAME DAY
4202,Anti HAV IgM,1800,3- 5cc Clotted Blood or Serum,SAME DAY
5920,Anti HBc (Total),1950,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
4205,Anti Hbc IgM,2150,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
4207,Anti HBe,2150,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
4225,Anti HBs Antibody,1700,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
4208,Anti HCV (ELISA),800,3- 5cc Clotted Blood or Serum,SAME DAY
13010,Anti HCV Screening,500,EDTA (WB) & Clotted Blood,DAILY
2531,Anti HDV,2000,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
4210,Anti HEV IgG,2700,3- 5cc Clotted Blood or Serum,AFTER TWO DAYS
4214,Anti HEV IgM,2700,3- 5cc Clotted Blood or Serum,AFTER TWO DAYS
4211,Anti HIV - 1 & 2 (ELISA),2200,3- 5cc Clotted Blood or Serum,AFTER TWO DAYS
9008,Anti Leptospiral Ig G,3300,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
9007,Anti Leptospiral Ig M,3300,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
8387,Anti LKM (Anti Liver Kidney Microsomal Ab),2150,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
3813,Anti Mullerian Hormone (AMH),5400,3- 5cc Clotted Blood or Serum,DAILY
4137,Anti Neutrophil Cytoplasmic Antibodies,7800,3- 5cc Clotted Blood or Serum,AFTER 7 DAYS
4219,Anti HIV - 1 & 2 Screening,600,3- 5cc Clotted Blood or Serum,SAME DAY
5038,Anti Phospholipid IgG,2650,3- 5cc Clotted Blood or Serum,AFTER THREE WEEKS
5039,Anti Phospholipid IgM,2650,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
5021,Anti Scl-70,2650,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
5020,Anti Sperm Antibodies,3300,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
3662,Anti Streptolysine O Titre (ASOT),800,3- 5cc Clotted Blood or Serum,DAILY
5031,Anti Thyroglobulin Antibodies (Anti-Tg),1000,3- 5cc Clotted Blood or Serum,AFTER ONE WEEK
5557,Anti Tissue Transglutaminase IgA (TGA),1800,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
5560,Anti Tissue Transglutaminase IgG (TGA),1800,3- 5cc Clotted Blood or Serum,AFTER TWO DAYS
3435,Anti TSH Receptor Antibodies (TRAB),3450,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
3265,Apolipoprotein A1,1450,3- 5cc Clotted Blood or Serum,AFTER THREE DAYS
1306,APTT (Activated Partial Thromboplastin Time),700,Sodium Citrate Tube (PT Vial),Same Day After 8 Hour
2207,Ascitic Fluid For Cytology,1400,Ascitic Fluid,AFTER FIVE DAYS
2201,Ascitic Fluid C/E,1200,Fluid,Same Day After 12 Hour
132,Ascitic Fluid For C/S,1600,Ascitic Fluid,AFTER THREE DAYS
8058,Ascitic Fluid For AFB C/S,1600,Ascitic Fluid,AFTER 8 WEEKS
8011,Ascitic Fluid For AFB Stain / ZN Stain,400,Ascitic Fluid,SAME DAY
