No.,,,,,
,District,HCE Name,Address,Sector,
1,Attock,Riaz Surgery Hospital,"Near Musa Pul Hazro, Attock",Private ,
2,Attock,Shoaib Hospital ,"Kohat Road, Fateh Jang, Attock ",Private ,
3,Attock,POL Hospital,"Khaur,Tehsil Pindi Gheb, District Attock",Private,
4,Attock,Isfandyar Bukhari District Hospital Attock,"Near Attock Kamra Road, Attock",Public,
5,Attock,Ameer Abdullah Memorial Hospital,"Circular Road, Hazro, District Attock",Private,
6,Bahawalnagar,Tehsil Headquarter Hospital Chishtian,"Chishtian, District Bahawalnagar",Public,
7,Bahawalnagar,District Headquarter Hospital Bahawalnagar,"DCO Office Road, Bahawalnagar",Public,
8,Bahawalnagar,City Hospital,"Waheed Arshad Chowk, College Road, District Bahawalnagar",Private,
9,Bahawalnagar,Al Haq Eye Maternity & General Hospital,"Haroonabad, Bahawalnagar",Private,
10,Bahawalpur,Tehsil Headquarter Hospital Ahmedpur East,"Dera Nawab Road Ahmedpur East, Bahawalpur",Public,
11,Bahawalpur,SITC (Sohail Infertility Treatment Centre),"85-A Noor Mahal Road, District Bahawalpur",Private,
12,Bahawalpur,Bahawalpur Hospital,"11 Block Y, Model Town C Road, Bahawalpur",Private,
13,Bhakkar,Musa Memorial Hospital,"Chak No 34 BTDA, Near General Bus Stand Daewoo Bhakkar",Private,
14,Bhakkar,Brig. (Retd) Shafiq Ahmed Khan Niazi Memorial Trust Hospital,"Darya Khan Road, Bhakkar",Private,
15,Bhakkar,Azhar Mehboob Memorial Hospital,Darya Khan Road Near Superior College Bhakkar,Private,
16,Chakwal,Trauma Centre THQ Hospital Kalar Kahar,Tehsil Headquarter Hospital Kalar Kahar Chakwal,Public,
17,Chakwal,Mother & Child Hospital,"Rawalpindi Road, Chakwal",Private,
18,Chakwal,Govt. City Hospital Talagang,"Main City Talagang, Chakwal",Public,
19,Chakwal,District Headquarter Hospital Chakwal,"Tehsil Chowk, Chakwal",Public,
20,Chakwal,Begum Noor Memorial Hospital,"Village Post Office Bhubhar, Chakwal",Private,
21,Dera Ghazi Khan,Surgicare Hospital,"Jaampur Road, Opposite Medical Collage, Dera Ghazi Khan",Private,
22,Faisalabad,Social Security MNCH Hospital,"108-A, Peoples Colony, Faisalabad",Public,
23,Faisalabad,Social Security Hospital Faisalabad,"Sosan Road Madina Town, Faisalabad",Public,
24,Faisalabad,Shifa International Hospital Ltd,"11 KM Jaranwala Road, District Faisalabad",Private,
25,Faisalabad,Saint Raphaels Hospital,"Railway Road, Faisalabad",Private,
26,Faisalabad,Rural Health Centre Mureedwala,Tehsil Samundri District Faisalabad,Public,
27,Faisalabad,Rural Health Centre Chak No. 134/GB,Tehsil Sumandri District Faisalabad,Public,
28,Faisalabad,Rural Health Center Chak No. 229/RB,Mukkana Tehsil Jaranwala District Faisalabad,Public,
29,Faisalabad,Munawar Hospital,"275 JB, Bohwana Road, Painsra, Faisalabad",Private,
30,Faisalabad,Mian Muhammad Trust Hospital,"126- Sargodha Road, Faisalabad",Private,
31,Faisalabad,Madina Teaching Hospital,"University Medical & Dental College, Sargodha Road, Faisalabad",Private,
32,Faisalabad,Independent University Hospital,"Narwala Road Kothi Saadat Merzi Pura, Faisalabad",Private,
33,Faisalabad,Hilal-e-Ahmar Hospital,"University Road, Faisalabad",Private,
34,Faisalabad,Aslam Memorial Zakaria Hospital,"Quaid-e-Azam Road, Mumtazabad, Tandliawala, Faisalabad",Private,
35,Faisalabad,Allied Hospital-Il,"Mall Road Near Railway Station Civil Lines, District Faisalabad",Public,
36,Faisalabad,Allied Hospital,"Jail Road, Faisalabad",Public,
37,Faisalabad,ABWA Hospital & Research Centre,"I-KM, Khurrianwala Jaranwala Road, Faisalabad",Private,
