,,,,
Sr. No.,District,HCE Name,Address,Contact#
,,,,
1,Attock,Anjum Shaheen Lab,"Hazara Road, Tehsil Hassan Abdal, Attock",0321-5758002
2,Attock,City Lab,"Ashraf Shaheed Road, Hazara Road, Hassanabdal, Attock",0300-9759379
3,Attock,Faisal Clinical Laboratory,"Hazara Road Near THQ Hospital Hassan Abdal, Attock",0333-5619011
4,Attock,Family Clinical Lab,Family Medical Complex Hazara Road Jharikass,3339307383
5,Attock,"Islamabad Diagnostic Centre (PVT) LTD, Attock","Ground Floor Al Madina and Business Centre, Near Officer Colony, Main Kamra Road, Attock",0333-3397922
6,Attock,"Islamabad Diagnostic Centre (Pvt) Ltd, Collection Center","Hassan Abdal Branch Hazara Road, Attock",0321-5620347
7,Attock,Medicare Clinical Laboratory,"Hazara Road, Opposite THQ Hospital, Hassan Abdal, Attock",0300-5522687
8,Attock,Premium Diagnostics Center Pvt Ltd,Asfandyar Tower Main Kamra Road Near DHQ Hospital Attock,3339313124
9,Attock,The Health Care Lab,"Near Anti Narcotics Police Station, Kamra Road, Attock",ÿ
10,Bahawalnagar,"Al Hafiz Clinical Laboratory, Haroon Abad, Bahawalnagar","Opposite Civil Hospital, Haroon Abad, Bahawalnagar",0333-6312213
11,Bahawalnagar,Al Noor Lab Meclod Gunj,"Abubakar Siddique Plaza Ghalla Mandi Road, Meclod Gunj, Bahawalnagar",ÿ
12,Bahawalnagar,"Iqbal Qaisar Clinical Laboratory, Bahawalnagar","A-1, Medical Colony, DHQ Hospital, Bahawalnagar",0333-6303219
13,Bahawalpur,Abdullah Clinical Lab,"Inside Masjid Hospital, Opposite Allama Iqbal Town, Civil Hospital Road, Bahawalpur",ÿ
14,Bahawalpur,Adam Lab & Diagnostic Centre,"Al Noor Plaza Near Bank Al-Falah, Opposite BVH Road, Bahawalpur",3017727867
15,Bahawalpur,Al Hadi Diagnostic Center,Band Road Near Dar Ul Kabab Hotel Bahawalpur,3017727867
16,Bahawalpur,Al Kashaf Medicorp Laboratory,"Opp. F.G Boys School, Trust Colony",0300-9685584
17,Bahawalpur,Al Khidmat Diagnostic Center,OPP. BVH Near Darul Kabab Restaurant Bahawalpur,0300-8681850
18,Bahawalpur,Al Noor Laboratory,"Lane No 6 30-B Medical Colony, QAMC, Bahawalpur",0332-6049067
19,Bahawalpur,Ali Ahmad Lab,"20-B Medical Colony, Bahawalpur",3009680384
20,Bahawalpur,Arsalan Clinical Lab,"Al Aziz Plaza Near THQ Hospital Ahmad pur East, Bahawalpur",ÿ
21,Bahawalpur,"Asma Shauket Lab, Medical Colony, Bahawalpur","6-A Medical Colony, Bahawalpur",0300-6831435
22,Bahawalpur,Ayub Lab,"Band road behind Bank Alfalah, Bahawalpur",0334-6864410
23,Bahawalpur,"Bahawalpur Lab, Circular Road, Bahawalpur","Opposite Bahawalpur Victoria Hospital Near Bank Al Falah Circular Road, Bahawalpur",3007397017
24,Bahawalpur,Chughtai Stat Lab,"Commercial Area Near MCB Bank, Satellite Town, Bahawalpur",3047120713
25,Bahawalpur,City Azeem Pathology Lab,"Abbasia Road, Uch Sharif Teh. AhmadPur East, Distt. Bahawalpur",3362230168
26,Bahawalpur,Gardezi Lab,"Tasneem Plaza, Noor Mahal Road, Bahawalpur",0321-6801361
27,Bahawalpur,Gardezi Laboratory (State Lab),"Opp Gulsha Park, Yazman, Bahawalpur",0301-3234866
28,Bahawalpur,Hamdard Lab,"Bahawalpur Road, Yazman, Bahawalpur",3337676796
29,Bahawalpur,Jinnah Path Lab & Diagnostic center,"Darul Kabab Building, Mohala Chah Fateh Khan, front of BVH, band road",3247733669
30,Bahawalpur,Khawaja Lab,"8/A Medical Colony, Bahawalpur",0300-9681243
31,Bahawalpur,"Life Lab, Opposite BV Hospital, Bahawalpur","Opposite BV Hospital, Bahawalpur",0333-6349020
32,Bahawalpur,Medicare Diagnostic Laboratory,"Model Town C, Bahawalpur",0300-9687416
33,Bahawalpur,Najeeb Clinical Lab,"8-B, Lane-3, Medical Colony",3338282114
34,Bahawalpur,Qasim Clinical Lab,"Library Chowk, Circular Road, Bahawalpur",0300-9682229
35,Bahawalpur,Rahim Clinical Lab,"Near Bank Al Falah,Circular Road, Bahawalpur",ÿ
36,Bahawalpur,Reza Clinical Laboratory,"Basement Bahawalpur Heart Centre, Opposite FG College Noor Mahal Road, Bahawalpur",3334603388
37,Bahawalpur,Sadaf Diagnostic Lab,"31-B, Lane No.06, Medical Colony, Bahawalpur",3336376054
38,Bhakkar,Al Azeem Clinical Lab,"Khansar Road, Opposite DHQ Hospital, Bhakkar",0333-6842852
39,Bhakkar,Al Azeem Clinical Laboratory,"Near THQ Darya Khan, District Bhakkar",0333-4723
40,Bhakkar,Al Khidmat Clinical Laboratory,Near DHQ Hospital Bhakkar,0332-7647303
41,Bhakkar,"Al Khidmat Diagnostic Center, College Road, Bhakkar","Ramzan Plaza College Road, Bhakkar",0301-6958026
42,Bhakkar,"Pathology Lab, Near Chishti Chowk, Bhakkar","Near Chishti Chowk, Bhakkar",0303-9219498
43,Chakwal,Abdul Qadeer International Laboratory,"Etihad Complex, Miani Adda, Khushab Road, Tehsil Kalar kahar,",3330510801
44,Chakwal,Al Shifa Lab,"B.K Market, Opposite Emergency Gate, Jhelum Road,Chakwal",3219391838
45,Chakwal,Aslam Health Care Lab,"Village & Post Office Dhudial Near Hascol Petrol Pump Pindi Road, Chakwal",3135911333
46,Chakwal,Chakwal Diagnostic Centre,"Unique Plaza Pindi Road, Chakwal",3330510801
47,Chakwal,"FS Lab Services, Pindi Road Chakwal",Al Rehman Plaza Opp Govt College Pindi Road Chakwal,0334-5150430
48,Chakwal,H Askari Lab,"Opp Nadra Office Pindi Road,Chakwal",0334-2726904
49,Chakwal,"Hassan Clinical Laboratory, Hospital Road, Chakwal","Raja Center Near Zafar Hotel, Hospital Road, Chakwal",0333-5907688
50,Chakwal,Islamabad Diagnostic Centre,"Talagang Branch, M.Shakeel Plaza,Mundial,Chakwal Road,Talagang,Chakwal",3345387835
51,Chakwal,Islamabad Diagnostic Centre (Pvt) Ltd,"Opposite DHQ Hospital, Jhelum Road, Chakwal",3135911333
52,Chakwal,"Kashif Laboratory, Hospital Road, Chakwal","Mohalla Sir Gojra Girls College Road, Chakwal",0333-5901167
53,Chakwal,Mehar Memorial Clinical Lab,"Opposite DHQ Hospital, Chakwal",0311-5724060
54,Chiniot,Aamir Clinical Laboratory,"Katchery Road, Chiniot",0321-7712007
55,Chiniot,Al Meezan Lab,"City Police Station Road Opp Khair ul Bashar Hospital, Chiniot",0321-7710142
56,Chiniot,"Jinnah Laboratery, Mohallah Garah, Chiniot","Mohallah Garah Near Firebrigade Office, Chiniot",0340-1799005
57,Chiniot,National Clinical Laboratory,"Near Post Office Bhowana, Chiniot",3326259201
58,Chiniot,Perfect Lab,"Near Sardaran Siddique Hospital Jhumra Chowk, Chiniot",3010698176
59,Dera Ghazi Khan,"Al Shifa Lab, DHQ Hospital, Dera Ghazi Khan","Opposite Trauma Center, DHQ Hospital, Dera Ghazi Khan",ÿ
60,Dera Ghazi Khan,"City Lab, Jampur Road, Dera Ghazi Khan","Jampur Road, Dera Ghazi Khan",0321-6792322
61,Dera Ghazi Khan,DG Lab,"Thokar Road ,Kot Chutta , Distt D.G Khan",0332-4430295
62,Dera Ghazi Khan,"Ghazi Clinical Laboratory, Railway Road, Dera Ghazi Khan","Shop No 1, Jinnah Medical Complex, Railway Road, Dera Ghazi Khan",0321-6790818
63,Dera Ghazi Khan,Hamdard Lab,"Jail Road, Behind Al Habib Bank, D.G Khan",0344-7031991
64,Dera Ghazi Khan,Hasnain Laboratory,"Opposite Trauma Center DHQ Hospital Balakh Sarwar,DG khan",0333-6471610
65,Dera Ghazi Khan,Indus Diagnostic and PCR Lab,"Balakh Sarwar city Near Alfalah Bank DHQ Hospital ,DG Khan",0333-5311514
66,Dera Ghazi Khan,Jinnah Lab,Jinnah Lab Block no13 Railway Road DG Khan,ÿ
67,Dera Ghazi Khan,Lahore Lab D.G Khan,"Jampur Road, Balakh Sarwar, D.G Khan",0331-7377224
68,Dera Ghazi Khan,New Ibraheem Clinical Lab,"Hospital Chowk Street No 2, Opposite Trauma Center, Dera Ghazi Khan",0334-6489377
69,Dera Ghazi Khan,"Raza Lab, Musharraf Chowk, D G Khan","Block No 9, Musharraf Chowk, Dera Ghazi Khan",0333-5733176
70,Dera Ghazi Khan,Real Diagnostic Lab,Balakh Sarwar City Street No. 3 Deragazi Khan,ÿ
71,Dera Ghazi Khan,"Shahzad Lab, Railway Road, Dera Ghazi Khan",Block No 13 Railway Road Dera Ghazi Khan,ÿ
72,Dera Ghazi Khan,Star Clinical Laboratory,"Street No.03, Chah Mazari Wala, Balakh Sarwar City, Dera Ghazi Khan",3336462464
73,Faisalabad,Aalam Health Care Laboratories,"Shalimar Chowk, 3 # Stop, Halal Road, Faisalabad",3315279152
74,Faisalabad,"Ahmad Labs, Satiana Road, Faisalabad","580-B, Peoples Colony, Saleemi Chowk, Satiana Road, Faisalabad",0333-6582008
75,Faisalabad,Al Barkat Lab,"155-X, Jattan Wala Chowk, Madina Town, Faisalabad",3315699416
76,Faisalabad,Al Falah Clinical Laborarty,"New P/O Road Near Chinioti Gate, Chak Jhumra, Faisalabad",0321-7642306
77,Faisalabad,"Al Hameed Laboratory, Millat Town Faisalabad",Opp Shell Patrol Pump Millat Town Faisalabad,ÿ
78,Faisalabad,Al Kabeer International Diagnostic & Research Laboratory,"Opposite Allied Hospital Gate No 5, Main Daewoo Road, Akbar Abad Chowk, Faisalabad",3217201209
79,Faisalabad,"Al Karam Clinical Laboratories, G.M Abad Faisalabad",Iqbal Chowk Sadar Bazar G.M abad Faisalabad,0313-7753311
80,Faisalabad,"Al Khidmat Laboratories, Allied Hospital, Faisalabad","Akbarabad Chowk Near Allied Hospital, Faisalabad",0332-6850118
81,Faisalabad,Al Madina Laboratory,"Mian Jaranwala Road, Zubair Colony, Madina Town, District Faisalabad",0300-7642914
82,Faisalabad,"Al Meezan Diagnostic Centre, Jail Road, Faisalabad","Plote No.122, Jail Road, Rafique Colony, Faisalabad",0333-8981196
83,Faisalabad,"Al Raheem Lab, Gulistan Colony, Faisalabad","Opp Aziz Fatima Hospital Gulistan Colony, Faisalabad",ÿ
84,Faisalabad,"Al Rahmat Diagnostic Centre, Manawala Faisalabad",Near NBP 204 Chak Road manawala Faisalabad,0333-8969074
85,Faisalabad,Al Rehman Lab,"Akbarabad Chowk, Near Allied Hospital, Faisalabad",0321-2394224
86,Faisalabad,"Al Rehmat Hormone Laboratory, Sheikhupura Road, Faisalabad","Near Nishatabad Pul Main Sheikhupura Road, Faisalabad",0315-7206110
87,Faisalabad,Al Rifah Labs,"Bilal Chowk, Samanabad , Faisalabad",3424053350
88,Faisalabad,Al Shifa Diagnostic & Research Lab,"Near Akbarabad Chowk, Allied Hospital, Faisalabad",0336-7739734
89,Faisalabad,Al Shifa Laboratory,"Near Imam Bargah, Circular Road, Jaranwala, District Faisalabad",0321-7671486
90,Faisalabad,Alfa Diagnostic Services,"P-5/C Adj Shell Petrol Pump, Opposite Old Board Office, Jail Road, Faisalabad",3455207292
91,Faisalabad,Al-Kabeer Laboratories & Diagnostic Centre,"Street No.05, Akbarabad, Near Allied Hospital, Faisalabad",3339669059
92,Faisalabad,"Allied Diagnostic & Reserach Centre, Main Jail Road, Faisalabad","Main Jail Road Near Rafiq Colony Chowk, Faisalabad",3016518611
93,Faisalabad,"ALPHA Hormone Lab, Samanabad, Faisalabad",Bilal Chowk Main Road Samanabad Faisalabad,ÿ
94,Faisalabad,Al-Rahat Clinical Lab & Diagnostic Centre,"Akbarabad Chowk, Daewoo Road Near Allied Hospital, Faisalabad",3216605620
95,Faisalabad,Al-Rahmat Laboratories,"Ajmal Centre, 289, Batala Colony, Faisalabad",0321-9668905
96,Faisalabad,Al-Rehman International Laboratories & Diagnostic Centre,The Main Samnabad Road Faislabad,3063892826
97,Faisalabad,Alvi Laboratories,"Akbarabad Chowk, Near Allied Hospital, Faisalabad",0300-7605393
98,Faisalabad,Al-Wahid Lab,"Gulberg Road, Jinnah Colony, Faisalabad",3217201209
99,Faisalabad,Arfa Diagnostic Centre,"Saddar Bazar Ghulam Muhammadabad, Faisalabad",3005223485
100,Faisalabad,Arfa Diagnostic Centre,"Street No.3, Akbarabad Chowk, Near Allied Hospital, Faisalabad",3137756777
101,Faisalabad,"Askari Clinical Laboratory, Mansoorabad, Faisalabad","St # 12 Mansoorabad, Faisalabad",0333-6550714
102,Faisalabad,"Azizia Lab, Johar Colony, Faisalabad","P-1091-A Khalkia Maternity Home Johar Colony Near Matto Pura, Faisalabad",0321-6605197
103,Faisalabad,Bio Lab Diagnostic Center,"Main Road Samnabad, Faisalabad",0321-7632000
104,Faisalabad,Biozone Helathcare Laboratories,"Near Crescent Mill, Main Sargodha Road, Faisalabad",3096056685
105,Faisalabad,"Chaughtai Stat Lab, Main Satiana Road, Faisalabad","571-B Peoples Colony # 1, Main Satiana Road, Faisalabad",0345-8445093
106,Faisalabad,City Lab Faisalabad,"Near Allied Hospital, Akbarabad Chowk, Faisalabad",0300-6660818
107,Faisalabad,Dawaa & Dua Laboratory,"302/A, Peoples Colony No 2, Faisalabad",0300-9840138
108,Faisalabad,"Dia Scient Health Care Labs,","35-G, Raja Road, Gulistan Colony, Faisalabad",3007223597
109,Faisalabad,Doctors Diagnostic Lab,Near Akber Hospital Laker Mandi Road 40 More Jaranwala Faisalabad.,3224281312
110,Faisalabad,Doctors Lab and Research Centre,"Akbarabad, Near Allied Hospital, Faisalabad",0300-7605393
111,Faisalabad,Dr Rehman Laboratory,"Main Road, Allama Iqbal Colony, Mathai Wala Chowk, Faisalabad",0300-6677465
112,Faisalabad,Eden Laboratory & Diagnostic Centre,"Liaqat Chowk Govt. General Hospital Ghulam Muhammad Abad, Faisalabad",3188787571
113,Faisalabad,Faisalabad Punjab Diagnostic Lab,"1405-B Bilal Chowk,Main Road,Samanabad,Faisalabad",0321-6605620
