Sr No,District,Name,Address,Contact #
1,Attock,Anjum Shaheen Lab,"Hazara Road, Tehsil Hassan Abdal, Attock",0321-5758002
2,Attock,Chughtai Stat Lab & Radiology Centre,"Mutahir Memorial Hospital Near Takbeer Chowk Kamra Road, Attock",03167774955
3,Attock,City Lab,"Ashraf Shaheed Road, Hazara Road, Hassanabdal, Attock",0300-9759379
4,Attock,Faisal Clinical Laboratory,"Hazara Road Near THQ Hospital Hassan Abdal, Attock",03335619011
5,Attock,Family Clinical Lab,Family Medical Complex Hazara Road Jharikass,03339307383
6,Attock,"Islamabad Diagnostic Centre (PVT) LTD, Attock","Opposite To Asfandyar Bukhari Civil Hospital, Near Attock Medical Centre, Kamra Road, Attock",0333-3397922
7,Attock,"Islamabad Diagnostic Centre (Pvt) Ltd, Collection Center","Hassan Abdal Branch Hazara Road, Attock",0321-5620347
8,Attock,Medicare Clinical Laboratory,"Hazara Road, Opposite THQ Hospital, Hassan Abdal, Attock",0300-5522687
9,Attock,The Health Care Lab,"Near Anti Narcotics Police Station, Kamra Road, Attock",
10,Bahawalnagar,"Al Hafiz Clinical Laboratory, Haroon Abad, Bahawalnagar","Opposite Civil Hospital, Haroon Abad, Bahawalnagar",0333-6312213
11,Bahawalnagar,Al Noor Lab Meclod Gunj,"Abubakar Siddique Plaza Ghalla Mandi Road, Meclod Gunj, Bahawalnagar",
12,Bahawalnagar,"Iqbal Qaisar Clinical Laboratory, Bahawalnagar","A-1, Medical Colony, DHQ Hospital, Bahawalnagar",0333-6303219
13,Bahawalpur,Abdullah Clinical Lab,"Inside Masjid Hospital, Opposite Allama Iqbal Town, Civil Hospital Road, Bahawalpur",
14,Bahawalpur,Adam Lab & Diagnostic Centre,"Al Noor Plaza Near Bank Al-Falah, Opposite BVH Road, Bahawalpur",03017727867
15,Bahawalpur,Al Hadi Diagnostic Center,Band Road Near Dar Ul Kabab Hotel Bahawalpur,03017727867
16,Bahawalpur,Al Kashaf Medicorp Laboratory,"Opp. F.G Boys School, Trust Colony",0300-9685584
17,Bahawalpur,Al Khidmat Diagnostic Center,OPP. BVH Near Darul Kabab Restaurant Bahawalpur,0300-8681850
18,Bahawalpur,Al Noor Laboratory,"Lane No 6 30-B Medical Colony, QAMC, Bahawalpur",0332-6049067
19,Bahawalpur,Arsalan Clinical Lab,"Al Aziz Plaza Near THQ Hospital Ahmad pur East, Bahawalpur",
20,Bahawalpur,"Asma Shauket Lab, Medical Colony, Bahawalpur","6-A Medical Colony, Bahawalpur",0300-6831435
21,Bahawalpur,Ayub Lab,"Band road behind Bank Alfalah, Bahawalpur",0334-6864410
22,Bahawalpur,"Bahawalpur Lab, Circular Road, Bahawalpur","Opposite Bahawalpur Victoria Hospital Near Bank Al Falah Circular Road, Bahawalpur",03007397017
23,Bahawalpur,Chughtai Stat Lab,"Commercial Area Near MCB Bank, Satellite Town, Bahawalpur",03047120713
24,Bahawalpur,City Azeem Pathology Lab,"Abbasia Road, Uch Sharif Teh. AhmadPur East, Distt. Bahawalpur",03362230168
