Name,Logo,Description,Location,Contact,Contact,Account details ,Account Number ,Branch code,IBAN ,Swift Code
Edhi Foundation,,"The Edhi Foundation is a non-profit social welfare organization based in Pakistan. It was founded by Abdul Sattar Edhi in 1951, who served as the head of the organization until his death on 8 July 2016. Bilquis Edhi, a nurse by profession, used to oversee the maternity and adoption services of the foundation.","  Sarafa Bazar, Bolton Market, Mithadar.", (021)-32413232,,"Account Title:Abdul Sattar Edhi Foundation,Account ,Bank Name:HBL,Branch Name:Rampart Row Branch ? Karachi",0031-79000171-03,NA,NA,HABBPKKAXXX
Chhipa Welfare Association,,"Chhipa Welfare Association, commonly known as Chhipa, is a Pakistani non-profit welfare organization founded in 2007 by Ramzan Chhipa. It is headquartered in Karachi, Pakistan. The 1987 Karachi car bombing at Bohri Bazaar led Ramzan Chhipa to found Chhipa Welfare Association.","  Plot#ZC-5, Sector 8/A, Shahrah Faisal.", +92 21 11192 1020,,ZAKAT ACCOUNT   ,0103970978    0103970917,148,PK58MEZN0001480103970978,NA
Shahid Afridi Foundation,,"Shahid Afridi Foundation (SAF) is a non-profit organization in Pakistan with Globally registered Chapters in USA, UK, Australia, & South Africa. Our aim is to improve the conditions of the underprivileged communities of our society in terms of Education, Healthcare Services, Access to Water, Sports Rehabilitation and Emergency Relief Response.","  Rohi Nala Rd, Phase 2 Cantt View Housing Scheme, Lahore", (021) 38881658,,  Account Title:ÿShahid AfridiÿFoundation. Charity Account  ,77900930203,7,NA,NA
Ansar Burney Trust International,,"Since its inception in 1980, Ansar Burney Trust International (ABTI) has played pivotal role in Human Rights awareness and protection, both, Internationally and in Pakistan. Unlike most non-government and non-political organizations currently operating in Pakistan, ABTI holds it to its credit to be called as 'Pioneers of Human Rights' in Pakistan."," 6 Hasan Manzil, Arambagh Road.", (021)-32623382,,Account Title: Ansar Burney Trust International    ,7900229503,51,PK19HABB0000517900229503.,HABBPKKA
Minhaj Welfare Foundation (MWF),,"Minhaj Welfare Foundation is a non-governmental international relief and welfare organisation and a branch of Minhaj-ul-Quran International. It was founded on 17 October 1989 by Muhammad Tahir-ul-Qadri, and registered in the UK."," Kot Khawaja Saeed, Lahore, Punjab 366 M Model Town Lahore,",  (+92) (0) 42 3516 8365   , +1-888-9-646425,"The Minhaj Welfare Foundation maintains accounts with two different banks in Pakistan. The first account is held at Meezan Bank Limited, under the account name ""Minhaj Welfare Foundation.""  and the associated . The Swift Code (BIC) for Meezan Bank is MEZNPKKALHR, and the bank is located on Shalimar Link Road, Lahore, Punjab."," 0293 0103 6430 00,",NA, PK74 MEZN 0002 9301 0364 3000.,NA
Aga Khan Foundation,,"The Aga Khan Foundation is a private, not-for-profit international development agency, which was founded in 1967 by Shah Karim Al Hussaini, Aga Khan IV, the 49th Hereditary Imam of the Shia Ismaili Muslims."," SMS School, Karimabad.", (021)-99244230,,The Aga Khan University holds an account with Soneri Bank Limited at the AKU Branch ,20000014401,24,NA,NA
Al-Khidmat Foundation Pakistan,,"Alkhidmat Foundation Pakistan is a non-political, non-governmental, and non-profit organization that provides humanitarian and social welfare services to communities across Pakistan."," 501, Quaideen Colony.", 021 111 503 504,,"The second account is with United Bank Limited (UBL), also under the name ""Minhaj Welfare Foundation."" , with a branch code of UNIL.  , and the The bank is situated at State Life Building, 1 II Chundrigar Road, Karachi 74000, Pakistan.", 0109 0002 7491 6074,NA,PK69 UNIL 0109 0002 7491 6074, (BIC) for UBL is UNILPKKA.
"EHSAS (Education, Health, and Social Achievement Services)",,Ehsaas is a registered aid and development charity with over 10 years of grass-roots experience in several countries around the world especially in Pakistan.,Headquarters is in islamabad , 612 8103 4117  ,,"Ehsaas Foundationÿand post to:P.O. Box 761, Hicksville, NY 11802-0761, USA",NA,NA,NA,NA
Fatimid Foundation,,"Fatimid Foundation, aÿnon-profit organization in Pakistanÿis the pioneer of voluntary blood transfusion services in Pakistan. Even in terms of quantitative output of blood and blood products, Fatimid Foundation is the leader of the fraternity ofÿblood transfusion services in Pakistan."," 393 Britto Road, Garden East, Karachi-74800 ", +92-21-32253323,,"National Bank of Pakistan
Fatimid Foundation		",3011703924,NA,PK97 NBPA 1759 0030 1170 3924,NA
Khushal Pakistan,,"Khushal pakistan society is an NGO that is working on the motto of changing pakistan by helping underprivileged population of country, in any possible means.Main aim includes food for hungry people and education for underprivileged children of pakistan, that are the victims of forced labor, beggary, sexual abuse and human trafficking.",  Office at Islamabad,3498326911,,"Khushhali customers can now use their registered Jazz, Zong and Ufone numbers to check their account balance and loan repayment details by simply dialling *8226# from anywhere, at any time.",NA,NA,NA,NA
