Name,Data,Location,Contact,Account details
Edhi Foundation,"Edhi Foundation is one of the most important names in all the lists of best NGOs in Pakistan. It is one of the best social welfare service providers across the world running on a non-commercial, non-political, and non-communal basis. The organization is enjoying exclusive awards and shields conferred upon Mr. Abdul Sattar Edhi (late) and Mrs. Bilquis Edhi by governmental and non-governmental organizations on a national and international level. All these awards are for rendering exemplary services to humanity in multidimensional fields. "," Head Office: Sarafa Bazar, Bolton Market, Mithadar.",Contact: (021)-32413232,"Account Title:Abdul Sattar Edhi Foundation,Account No:0031-79000171-03,Bank Name:HBL,Branch,Name:Rampart Row Branch ? Karachi,Swift Code:HABBPKKAXXX"
Chhipa Welfare Association,"Chhipa Welfare Association is another important name in the list of top charities in Pakistan. The organization is also one of the most efficient NGOs in Pakistan, founded in 2007 by Ramzan Chhipa. Its activities include ambulance service and free or low-cost food to people with low income. "," Head Office: Plot#ZC-5, Sector 8/A, Shahrah Faisal.",Contact: +92 21 11192 1020,ZAKAT ACCOUNT Account No.�0103970978. Branch Code: 0148. IBAN: PK58MEZN0001480103970978. DONATION ACCOUNT Account No. 0103970917.
Shahid Afridi Foundation,"After enjoying a glamorous cricket career, Shahid Afridi is now serving humanity through Shahid Afridi Foundation. The organization is one of the top charities in Pakistan and has a vision of educating every kid in Pakistan and ensuring the best health facilities for the poor people. The goal of SAF is to go global and create an alliance with other reputable foundations to serve humanity. "," Office: Rohi Nala Rd, Phase 2 Cantt View Housing Scheme, Lahore",Contact: (021) 38881658,Branch Code: 007. Account Title:�Shahid Afridi�Foundation. Charity Account: PKR. Account No.: 00077900930203.
Ansar Burney Trust International,"The Ansar Burney Trust is a non-governmental, non-political, non-profitable and one of the most reputable and top charities in Pakistan. It is working to fight against all forms of injustices, cruel inhuman and degrading treatment, child abuse, cruelty against women, and other forms of human and civil rights violations without any discrimination of affiliation.  ","Head Office: 6 Hasan Manzil, Arambagh Road.",Contact: (021)-32623382,"The account details for Ansar Burney Trust International at Habib Bank Limited are as follows: Account Title: Ansar Burney Trust International, Account Number: 7900229503, Branch Code: 0051, Swift Code: HABBPKKA, and IBAN: PK19HABB0000517900229503."
Minhaj Welfare Foundation (MWF),"Minhaj Welfare Foundation (MWF) is also among the largest and top charities in Pakistan. It has a network of branches and projects in over 100 countries worldwide. It was started by Tahir-ul-Qadri as a part of Minhaj-ul-Quran International. MWF helps to support the poor and needy in marginalized communities by working for their rights, access to basic healthcare, and providing children access to education. ","Lahore Office: Kot Khawaja Saeed, Lahore, Punjab 366 M Model Town Lahore,", Punjab PK: (+92) (0) 42 3516 8365 UK/EU: (+44) (0) 300 3030 777 USA: +1-888-9-646425,"The Minhaj Welfare Foundation maintains accounts with two different banks in Pakistan. The first account is held at Meezan Bank Limited, under the account name ""Minhaj Welfare Foundation."" The account number is 0293 0103 6430 00, and the associated IBAN is PK74 MEZN 0002 9301 0364 3000. The Swift Code (BIC) for Meezan Bank is MEZNPKKALHR, and the bank is located on Shalimar Link Road, Lahore, Punjab."
Aga Khan Foundation,"Aga Khan Foundation is an NGO that works to improve the quality of life for villagers. The organization, alongside its sister AKDN agencies, has implemented innovative, community-driven solutions to development challenges for more than 45 years. It focuses on a small number of specific development problems and develops intellectual and financial partnerships with organizations sharing its objectives.  ","Head Office: SMS School, Karimabad.",Contact: (021)-99244230,"The Aga Khan University holds an account with Soneri Bank Limited at the AKU Branch, identified by Branch Code 0024. The account number for The Aga Khan University is 20000014401."
Al-Khidmat Foundation Pakistan,"Al-Khidmat Foundation is one of the top charities in Pakistan that focuses on a wide range of humanitarian services across Pakistan. Al-Khidmat Foundation has been active in flood relief and other disaster relief work for many years. In addition, the organization runs schools and orphan homes, manages clean water projects, runs ambulances, sets up medical camps, provides help to those in jail and offers goods and supplies to those in need.  ","Head Office: 501, Quaideen Colony.",Contact: 021 111 503 504,"The second account is with United Bank Limited (UBL), also under the name ""Minhaj Welfare Foundation."" The account number for this account is 0109 0002 7491 6074, with a branch code of UNIL. The IBAN for this account is PK69 UNIL 0109 0002 7491 6074, and the Swift Code (BIC) for UBL is UNILPKKA. The bank is situated at State Life Building, 1 II Chundrigar Road, Karachi 74000, Pakistan."
"EHSAS (Education, Health, and Social Achievement Services)","EHSAS targets a wide range of areas including poverty alleviation, healthcare, education, and social development. EHSAS has various ongoing efforts in place including EHSAS library, EHSAS blood bank, EHSAS Hepatitis Awareness, and Vaccination Program, EHSAS Horticulture Development Program and EHSAS Good Governance Program.",Headquarters is in islamabad ,: USA 1 855 617 7786 | Australia 612 8103 4117 | Other ways to donate.,"Ehsaas Foundation�and post to:P.O. Box 761, Hicksville, NY 11802-0761, USA"
Fatimid Foundation,"The Fatimid Foundation is one of the leading and top charities in Pakistan that aims to help millions of patients in Pakistan who have blood-related diseases. It is a pioneer in providing safe blood transfusions. The organization provides healthy fully screened blood and its products each month to thousands of patients. The majority of them are children suffering from dreadful blood disorders such as thalassemia, hemophilia and others. The foundation also arranges urgent blood in case of emergencies in the country."," Head Office: 393 Britto Road, Garden East, Karachi-74800 ",Contact: +92-21-32253323,"National Bank of Pakistan
Account Title	Account No	IBAN Code
Fatimid Foundation	3011703924	PK97 NBPA 1759 0030 1170 3924"
Khushal Pakistan,"Khushaal Pakistan could never be overlooked when discussing top charities in Pakistan. It was formed in July 2010 when Pakistan was hit with devastating floods that affected millions. Created by a group of young graduates with a desire and drive to help the needy, the organization took off immediately with the aim to reach those in need. After the immediate flood effort died down, Khushaal Pakistan turned its attention towards rehabilitating flood-hit areas of Risalpur, Khyber Pakhtunkhwa.", Head Office at Islamabad, Phone: 03498326911 Email: khushalpakistansociety@gmail.com,"Khushhali customers can now use their registered Jazz, Zong and Ufone numbers to check their account balance and loan repayment details by simply dialling *8226# from anywhere, at any time."
